respondent,index,wkt,geojson,If there w,What would,Are there,General fo,Loss of bi,Loss of co,Loss of _1,Loss of cu,Loss of fo,Loss of _2,Loss of in,responde_8
69v6a97bzi73,2,"POLYGON ((-120.740678 38.719756, -120.740678 38.719756, -120.745552 38.719756, -120.757737 38.721658, -120.765048 38.72546, -120.767485 38.727362, -120.77236 38.729263, -120.779671 38.733065, -120.784545 38.734966, -120.786982 38.736867, -120.791856 38.7","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.740678,38.719756],[-120.740678,38.719756],[-120.745552,38.719756],[-120.757737,38.721658],[-120.765048,38.72546],[-120.767485,38.727362],[-120.77236,38.729263],[-120.779671,38.733065],[","[[""38.719756,-120.740678"",""38.719756,-120.740678"",""38.719756,-120.745552"",""38.721658,-120.757737"",""38.72546,-120.765048"",""38.727362,-120.767485"",""38.729263,-120.77236"",""38.733065,-120.779671"",""38.734966,-120.784545"",""38.736867,-120.786982"",""38.74257,-120",Reservoirs and communities,,,,,1,,,,,state agency
4hz8i26dbd2z,0,"POLYGON ((-119.962594 38.78946, -119.962594 38.78946, -120.012248 38.803392, -120.040055 38.80494, -120.055945 38.806488, -120.06389 38.806488, -120.067862 38.806488, -120.071834 38.808035, -120.073821 38.811131, -120.079779 38.818869, -120.087724 38.820","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.962594,38.78946],[-119.962594,38.78946],[-120.012248,38.803392],[-120.040055,38.80494],[-120.055945,38.806488],[-120.06389,38.806488],[-120.067862,38.806488],[-120.071834,38.808035],[-1","[[""38.78946,-119.962594"",""38.78946,-119.962594"",""38.803392,-120.012248"",""38.80494,-120.040055"",""38.806488,-120.055945"",""38.806488,-120.06389"",""38.806488,-120.067862"",""38.808035,-120.071834"",""38.811131,-120.073821"",""38.818869,-120.079779"",""38.820416,-120.","Loss of forest, biodiversity and landscape beauty from fires.","sedimentation, loss of houses, communities, recreation
loss of stored carbon",1,1,,2,,,,,non-profit
8w3spv4kmk49,0,"POLYGON ((-120.775568 39.702229, -120.775568 39.702229, -120.777583 39.703262, -120.788326 39.703262, -120.79504 39.702746, -120.799741 39.701713, -120.83667 39.69448, -120.849428 39.69138, -120.858828 39.68828, -120.862857 39.68673, -120.8689 39.683113,","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.775568,39.702229],[-120.775568,39.702229],[-120.777583,39.703262],[-120.788326,39.703262],[-120.79504,39.702746],[-120.799741,39.701713],[-120.83667,39.69448],[-120.849428,39.69138],[-1","[[""39.702229,-120.775568"",""39.702229,-120.775568"",""39.703262,-120.777583"",""39.703262,-120.788326"",""39.702746,-120.79504"",""39.701713,-120.799741"",""39.69448,-120.83667"",""39.69138,-120.849428"",""39.68828,-120.858828"",""39.68673,-120.862857"",""39.683113,-120.86","East and West Yuba IRAS are one of the best areas for Spotted Owl , so logging should be carefully done. Mant w&S  river potential is alos in the=is area, as well as the Downievlle Downhill race where people could stray from the course area.",,,1,,,,,,,non-profit
8w3spv4kmk49,1,"POLYGON ((-120.085686 39.551445, -120.085686 39.551445, -120.092401 39.551963, -120.111873 39.551445, -120.127987 39.549892, -120.141417 39.547821, -120.144774 39.547303, -120.155517 39.544714, -120.164246 39.542125, -120.168946 39.540572, -120.170289 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.085686,39.551445],[-120.085686,39.551445],[-120.092401,39.551963],[-120.111873,39.551445],[-120.127987,39.549892],[-120.141417,39.547821],[-120.144774,39.547303],[-120.155517,39.544714]","[[""39.551445,-120.085686"",""39.551445,-120.085686"",""39.551963,-120.092401"",""39.551445,-120.111873"",""39.549892,-120.127987"",""39.547821,-120.141417"",""39.547303,-120.144774"",""39.544714,-120.155517"",""39.542125,-120.164246"",""39.540572,-120.168946"",""39.540572,-",Willow flycatches nest in this are near the Little Truckee river and nest need to be protected form recreation.,,,1,,,,,,,non-profit
9xz9a2t938s8,0,"POLYGON ((-120.379413 39.21368, -120.379413 39.21368, -120.377755 39.215285, -120.376926 39.215606, -120.376098 39.216249, -120.374854 39.21657, -120.37071 39.217533, -120.369053 39.218175, -120.367809 39.218496, -120.366152 39.218817, -120.365323 39.218","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.379413,39.21368],[-120.379413,39.21368],[-120.377755,39.215285],[-120.376926,39.215606],[-120.376098,39.216249],[-120.374854,39.21657],[-120.37071,39.217533],[-120.369053,39.218175],[-1","[[""39.21368,-120.379413"",""39.21368,-120.379413"",""39.215285,-120.377755"",""39.215606,-120.376926"",""39.216249,-120.376098"",""39.21657,-120.374854"",""39.217533,-120.37071"",""39.218175,-120.369053"",""39.218496,-120.367809"",""39.218817,-120.366152"",""39.218817,-120.",Post fire sedimentation in waterways and reservoirs; loss of biodiversity; loss of landscape beauty; loss of local climate regulation; loss of forest products; loss of recreational income; loss of forage or food;,,,1,,,,1,1,,non-profit
2fa8bmv93l24,0,"POLYGON ((-120.595872 39.018821, -120.595872 39.018821, -120.632736 39.021024, -120.679525 39.023227, -120.695121 39.023227, -120.699375 39.023227, -120.720643 39.024329, -120.739075 39.023227, -120.749 39.021024, -120.767431 39.014414, -120.802878 39.00","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.595872,39.018821],[-120.595872,39.018821],[-120.632736,39.021024],[-120.679525,39.023227],[-120.695121,39.023227],[-120.699375,39.023227],[-120.720643,39.024329],[-120.739075,39.023227]","[[""39.018821,-120.595872"",""39.018821,-120.595872"",""39.021024,-120.632736"",""39.023227,-120.679525"",""39.023227,-120.695121"",""39.023227,-120.699375"",""39.024329,-120.720643"",""39.023227,-120.739075"",""39.021024,-120.749"",""39.014414,-120.767431"",""39.004499,-120",Values and water quality/impacts,,,,,,,,,,other
2fa8bmv93l24,1,"POLYGON ((-120.422895 38.889818, -120.422895 38.889818, -120.490951 38.890922, -120.583111 38.887611, -120.619975 38.885404, -120.661093 38.880989, -120.673854 38.880989, -120.74191 38.868847, -120.770267 38.860015, -120.832652 38.832409, -120.85392 38.8","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.422895,38.889818],[-120.422895,38.889818],[-120.490951,38.890922],[-120.583111,38.887611],[-120.619975,38.885404],[-120.661093,38.880989],[-120.673854,38.880989],[-120.74191,38.868847],","[[""38.889818,-120.422895"",""38.889818,-120.422895"",""38.890922,-120.490951"",""38.887611,-120.583111"",""38.885404,-120.619975"",""38.880989,-120.661093"",""38.880989,-120.673854"",""38.868847,-120.74191"",""38.860015,-120.770267"",""38.832409,-120.832652"",""38.81142,-12",values and water,water and values - potential,,,,,,,,,other
49afv6cr8zm9,0,"POLYGON ((-120.988775 39.492434, -120.988775 39.492434, -121.009206 39.502944, -121.025096 39.508198, -121.029636 39.50995, -121.036446 39.513453, -121.047797 39.515204, -121.079577 39.516955, -121.113628 39.516955, -121.147679 39.511701, -121.18173 39.5","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.988775,39.492434],[-120.988775,39.492434],[-121.009206,39.502944],[-121.025096,39.508198],[-121.029636,39.50995],[-121.036446,39.513453],[-121.047797,39.515204],[-121.079577,39.516955],","[[""39.492434,-120.988775"",""39.492434,-120.988775"",""39.502944,-121.009206"",""39.508198,-121.025096"",""39.50995,-121.029636"",""39.513453,-121.036446"",""39.515204,-121.047797"",""39.516955,-121.079577"",""39.516955,-121.113628"",""39.511701,-121.147679"",""39.504696,-1",Woody debris and sediment,,,,,,,,,,local or regional agency
2jo6zpa9vgf4,0,"POLYGON ((-120.064008 38.946943, -120.064008 38.946943, -120.067418 38.946943, -120.067418 38.945617, -120.077649 38.929702, -120.081059 38.925723, -120.082764 38.921743, -120.084469 38.91909, -120.087879 38.91511, -120.087879 38.91511, -120.087879 38.91","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.064008,38.946943],[-120.064008,38.946943],[-120.067418,38.946943],[-120.067418,38.945617],[-120.077649,38.929702],[-120.081059,38.925723],[-120.082764,38.921743],[-120.084469,38.91909],","[[""38.946943,-120.064008"",""38.946943,-120.064008"",""38.946943,-120.067418"",""38.945617,-120.067418"",""38.929702,-120.077649"",""38.925723,-120.081059"",""38.921743,-120.082764"",""38.91909,-120.084469"",""38.91511,-120.087879"",""38.91511,-120.087879"",""38.912457,-120",Tahoe Rest Forest Treatment Plan (approxx. 100K acres),,1,,,,,,,,non-profit
8ji699pru393,0,"POLYGON ((-121.013788 39.352378, -121.013788 39.352378, -120.967079 39.319531, -120.72066 39.248185, -120.549484 39.225398, -120.092755 39.183525, -119.840553 39.198561, -119.824302 39.221444, -119.846108 39.259578, -119.968603 39.38954, -120.103509 39.5","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.013788,39.352378],[-121.013788,39.352378],[-120.967079,39.319531],[-120.72066,39.248185],[-120.549484,39.225398],[-120.092755,39.183525],[-119.840553,39.198561],[-119.824302,39.221444],","[[""39.352378,-121.013788"",""39.352378,-121.013788"",""39.319531,-120.967079"",""39.248185,-120.72066"",""39.225398,-120.549484"",""39.183525,-120.092755"",""39.198561,-119.840553"",""39.221444,-119.824302"",""39.259578,-119.846108"",""39.38954,-119.968603"",""39.504347,-12",adsf,,,,,,,,,,local or regional agency
48hwg9224x44,0,"POLYGON ((-119.86941 38.750788, -119.86941 38.750788, -119.867889 38.750788, -119.867128 38.750788, -119.863325 38.750788, -119.857241 38.750788, -119.850396 38.750788, -119.84203 38.750788, -119.832903 38.750788, -119.825298 38.750788, -119.819213 38.75","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.86941,38.750788],[-119.86941,38.750788],[-119.867889,38.750788],[-119.867128,38.750788],[-119.863325,38.750788],[-119.857241,38.750788],[-119.850396,38.750788],[-119.84203,38.750788],[-","[[""38.750788,-119.86941"",""38.750788,-119.86941"",""38.750788,-119.867889"",""38.750788,-119.867128"",""38.750788,-119.863325"",""38.750788,-119.857241"",""38.750788,-119.850396"",""38.750788,-119.84203"",""38.750788,-119.832903"",""38.750788,-119.825298"",""38.750788,-119","debris flows wiping out homes, roads.",,,,1,,,,,,non-profit
48hwg9224x44,1,"POLYGON ((-119.817502 38.681654, -119.817502 38.681654, -119.816742 38.681654, -119.816361 38.681357, -119.815981 38.681357, -119.815221 38.681357, -119.81446 38.681357, -119.813319 38.681357, -119.811798 38.681357, -119.808376 38.681654, -119.805333 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.817502,38.681654],[-119.817502,38.681654],[-119.816742,38.681654],[-119.816361,38.681357],[-119.815981,38.681357],[-119.815221,38.681357],[-119.81446,38.681357],[-119.813319,38.681357],","[[""38.681654,-119.817502"",""38.681654,-119.817502"",""38.681654,-119.816742"",""38.681357,-119.816361"",""38.681357,-119.815981"",""38.681357,-119.815221"",""38.681357,-119.81446"",""38.681357,-119.813319"",""38.681357,-119.811798"",""38.681654,-119.808376"",""38.682248,-1","Debris flows, water system failure due to sedimentation/debris flows at water intake.",,,,1,,,,,,non-profit
48hwg9224x44,2,"POLYGON ((-119.774341 38.809187, -119.774341 38.809187, -119.774341 38.816299, -119.774341 38.82578, -119.774341 38.844737, -119.774341 38.854214, -119.777383 38.885006, -119.78651 38.918151, -119.792594 38.944183, -119.795636 38.948915, -119.795636 38.9","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.774341,38.809187],[-119.774341,38.809187],[-119.774341,38.816299],[-119.774341,38.82578],[-119.774341,38.844737],[-119.774341,38.854214],[-119.777383,38.885006],[-119.78651,38.918151],[","[[""38.809187,-119.774341"",""38.809187,-119.774341"",""38.816299,-119.774341"",""38.82578,-119.774341"",""38.844737,-119.774341"",""38.854214,-119.774341"",""38.885006,-119.777383"",""38.918151,-119.78651"",""38.944183,-119.792594"",""38.948915,-119.795636"",""38.948915,-11","Water quality degradation, earlier spring runoff when the weather is to cold for plants to grow affects the agriculture.",,,,,,,,,,non-profit
3tre476j6wg3,0,"POLYGON ((-121.021845 39.506073, -121.018431 39.50555, -121.016268 39.50555, -121.015221 39.505514, -121.009292 39.505514, -121.006952 39.505429, -121.005943 39.505321, -121.005943 39.504354, -121.004997 39.502816, -121.004089 39.501296, -121.003984 39.5","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.021845,39.506073],[-121.018431,39.50555],[-121.016268,39.50555],[-121.015221,39.505514],[-121.009292,39.505514],[-121.006952,39.505429],[-121.005943,39.505321],[-121.005943,39.504354],[","[[""39.506073,-121.021845"",""39.50555,-121.018431"",""39.50555,-121.016268"",""39.505514,-121.015221"",""39.505514,-121.009292"",""39.505429,-121.006952"",""39.505321,-121.005943"",""39.504354,-121.005943"",""39.502816,-121.004997"",""39.501296,-121.004089"",""39.5003,-121.",Loss of community,,,,,1,,,,,non-profit
3tre476j6wg3,1,"POLYGON ((-121.06114 39.435405, -121.06114 39.435405, -121.061215 39.433506, -121.061097 39.43103, -121.059595 39.420926, -121.058355 39.413699, -121.057339 39.411515, -121.055706 39.408062, -121.055589 39.404247, -121.055589 39.398659, -121.055589 39.39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.06114,39.435405],[-121.06114,39.435405],[-121.061215,39.433506],[-121.061097,39.43103],[-121.059595,39.420926],[-121.058355,39.413699],[-121.057339,39.411515],[-121.055706,39.408062],[-","[[""39.435405,-121.06114"",""39.435405,-121.06114"",""39.433506,-121.061215"",""39.43103,-121.061097"",""39.420926,-121.059595"",""39.413699,-121.058355"",""39.411515,-121.057339"",""39.408062,-121.055706"",""39.404247,-121.055589"",""39.398659,-121.055589"",""39.396152,-121",community loss,,,,,1,,,,,non-profit
9ws8i6xjv4pa,0,"POLYGON ((-120.124487 38.619283, -120.124487 38.619283, -120.119008 38.621423, -120.094354 38.627843, -120.080657 38.634263, -120.072438 38.636403, -120.069699 38.640683, -120.06696 38.642822, -120.061481 38.647101, -120.058741 38.649241, -120.053263 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.124487,38.619283],[-120.124487,38.619283],[-120.119008,38.621423],[-120.094354,38.627843],[-120.080657,38.634263],[-120.072438,38.636403],[-120.069699,38.640683],[-120.06696,38.642822],","[[""38.619283,-120.124487"",""38.619283,-120.124487"",""38.621423,-120.119008"",""38.627843,-120.094354"",""38.634263,-120.080657"",""38.636403,-120.072438"",""38.640683,-120.069699"",""38.642822,-120.06696"",""38.647101,-120.061481"",""38.649241,-120.058741"",""38.649241,-1",Public safety and public/human health.,Post-fire impacts of debris flow and other hazards. Loss of stored carbon,,,,,,,,,federal
2iw9kcf9dlc8,0,"POLYGON ((-118.665278 36.925965, -118.665278 36.925965, -118.668438 36.925965, -118.676338 36.923438, -118.695297 36.919649, -118.723736 36.919649, -118.801154 36.927228, -118.835914 36.925965, -118.846973 36.923438, -118.850133 36.919649, -118.854873 36","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-118.665278,36.925965],[-118.665278,36.925965],[-118.668438,36.925965],[-118.676338,36.923438],[-118.695297,36.919649],[-118.723736,36.919649],[-118.801154,36.927228],[-118.835914,36.925965]","[[""36.925965,-118.665278"",""36.925965,-118.665278"",""36.925965,-118.668438"",""36.923438,-118.676338"",""36.919649,-118.695297"",""36.919649,-118.723736"",""36.927228,-118.801154"",""36.925965,-118.835914"",""36.923438,-118.846973"",""36.919649,-118.850133"",""36.91586,-1","Downstream sedimentation,","Downstream sedimentation, impacts to aquatic habitat, water supply, water quality, recreation",,,,,,,,,non-profit
2iw9kcf9dlc8,1,"POLYGON ((-119.827043 37.978525, -119.853903 37.983506, -119.864962 37.988487, -119.901301 37.997203, -119.923421 37.995958, -119.94554 37.988487, -119.96924 37.978525, -119.989779 37.971052, -119.992939 37.96607, -119.994519 37.949875, -119.997679 37.92","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.827043,37.978525],[-119.853903,37.983506],[-119.864962,37.988487],[-119.901301,37.997203],[-119.923421,37.995958],[-119.94554,37.988487],[-119.96924,37.978525],[-119.989779,37.971052],[","[[""37.978525,-119.827043"",""37.983506,-119.853903"",""37.988487,-119.864962"",""37.997203,-119.901301"",""37.995958,-119.923421"",""37.988487,-119.94554"",""37.978525,-119.96924"",""37.971052,-119.989779"",""37.96607,-119.992939"",""37.949875,-119.994519"",""37.9262,-119.9",Downstream sedimentation,"impacts to aquatic habitat, loss biodiversity, water supply, water quality, recreation",,1,,,,,,,non-profit
2iw9kcf9dlc8,2,"POLYGON ((-119.656408 38.578813, -119.656408 38.578813, -119.659568 38.578813, -119.670627 38.578813, -119.695907 38.573873, -119.705387 38.565226, -119.711706 38.552871, -119.711706 38.525683, -119.713286 38.503431, -119.714866 38.474987, -119.706966 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.656408,38.578813],[-119.656408,38.578813],[-119.659568,38.578813],[-119.670627,38.578813],[-119.695907,38.573873],[-119.705387,38.565226],[-119.711706,38.552871],[-119.711706,38.525683]","[[""38.578813,-119.656408"",""38.578813,-119.656408"",""38.578813,-119.659568"",""38.578813,-119.670627"",""38.573873,-119.695907"",""38.565226,-119.705387"",""38.552871,-119.711706"",""38.525683,-119.711706"",""38.503431,-119.713286"",""38.474987,-119.714866"",""38.444058,-","Downstream sedimentation, impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity","impacts to aquatic habitat, water supply, water quality, recreation, loss biodiversity",,1,,,,,,,non-profit
