respondent,index,wkt,geojson,primary_forest_benefit,co_benefits,biodiversity,carbon_storage,commercial_real_estate,cultural_connections,electric_power_generation,foraging_a,forest_products,general_forest_health,investment_property,landscape_aesthetic,local_climate_regulation,local_community_connections,meadow_health,public_health,recreation,residential_property,spiritual,water_supply,water_quality,respondent_org
9xz9a2t938s8,0,"POLYGON ((-120.276532 39.4591, -120.276532 39.4591, -120.280784 39.460976, -120.284733 39.462149, -120.287163 39.462852, -120.290505 39.463087, -120.294453 39.463087, -120.296883 39.463087, -120.302351 39.463087, -120.305085 39.463087, -120.308426 39.462","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.276532,39.4591],[-120.276532,39.4591],[-120.280784,39.460976],[-120.284733,39.462149],[-120.287163,39.462852],[-120.290505,39.463087],[-120.294453,39.463087],[-120.296883,39.463087],[-1","Water quality, aquatic habitat, forest health",,1,,,,,,,1,,,,,,,,,,,1,non-profit
9xz9a2t938s8,1,"POLYGON ((-120.436247 39.516793, -120.436247 39.516793, -120.446105 39.507113, -120.457755 39.502965, -120.481951 39.499507, -120.507044 39.500199, -120.545578 39.50573, -120.569775 39.512644, -120.609206 39.521632, -120.636091 39.524397, -120.67373 39.5","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.436247,39.516793],[-120.436247,39.516793],[-120.446105,39.507113],[-120.457755,39.502965],[-120.481951,39.499507],[-120.507044,39.500199],[-120.545578,39.50573],[-120.569775,39.512644],","High carbon storage, high habitat value (CSO in particular), high fire risk that needs to be lowered, large trees",,1,1,,,,,,,,,,,,1,,,,,,non-profit
9xz9a2t938s8,2,"POLYGON ((-120.343 39.158669, -120.343 39.158669, -120.333967 39.142909, -120.322676 39.130648, -120.31816 39.120137, -120.313643 39.114881, -120.311385 39.109624, -120.311385 39.104368, -120.311385 39.09911, -120.313643 39.097358, -120.313643 39.097358,","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.343,39.158669],[-120.343,39.158669],[-120.333967,39.142909],[-120.322676,39.130648],[-120.31816,39.120137],[-120.313643,39.114881],[-120.311385,39.109624],[-120.311385,39.104368],[-120.","General forest health and resilience, biodiversity habitat, water supply and quality",,1,,,,,,,1,,,,,,,,,,1,1,non-profit
9xz9a2t938s8,3,"POLYGON ((-120.085567 39.598536, -120.085567 39.598536, -120.096858 39.584614, -120.101374 39.579393, -120.114923 39.568949, -120.128472 39.560245, -120.139763 39.553281, -120.148796 39.548057, -120.160087 39.542833, -120.178152 39.537609, -120.191701 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.085567,39.598536],[-120.085567,39.598536],[-120.096858,39.584614],[-120.101374,39.579393],[-120.114923,39.568949],[-120.128472,39.560245],[-120.139763,39.553281],[-120.148796,39.548057]","Forest products, biodiversity, carbon storage, water supply and quality, general forest health and resilience",,1,1,,,,,1,1,,,,,,,,,,1,1,non-profit
2fa8bmv93l24,0,"POLYGON ((-120.471997 38.922844, -120.471997 38.922844, -120.430287 38.939068, -120.409432 38.945247, -120.391556 38.949109, -120.369708 38.950653, -120.359777 38.950653, -120.343888 38.949881, -120.331971 38.946792, -120.324026 38.943702, -120.313102 38","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.471997,38.922844],[-120.471997,38.922844],[-120.430287,38.939068],[-120.409432,38.945247],[-120.391556,38.949109],[-120.369708,38.950653],[-120.359777,38.950653],[-120.343888,38.949881]",Crystal Basin - recreation and utility,"Social connections and strategic value; people come here, and we also host a lot of utilities = better overlap for funding and social  viewing / learning",,,1,,1,,,,,,,2,,,1,,,,,other
2fa8bmv93l24,1,"POLYGON ((-120.916904 38.99389, -120.916904 38.99389, -120.914918 38.995434, -120.912932 38.996977, -120.909952 38.998521, -120.900021 39.007782, -120.886118 39.019356, -120.883139 39.022443, -120.883139 39.022443, -120.870229 39.029386, -120.856325 39.0","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.916904,38.99389],[-120.916904,38.99389],[-120.914918,38.995434],[-120.912932,38.996977],[-120.909952,38.998521],[-120.900021,39.007782],[-120.886118,39.019356],[-120.883139,39.022443],[","Strategic value, resource / water quality and recreation","Water, recreation, community / culture",,,,2,,,,1,,,,2,,,1,,,,1,other
49afv6cr8zm9,0,"POLYGON ((-121.145409 39.441612, -121.145409 39.441612, -121.149949 39.443366, -121.152219 39.445119, -121.159029 39.445119, -121.17492 39.446872, -121.215781 39.446872, -121.249832 39.443366, -121.274802 39.443366, -121.279342 39.439859, -121.290693 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-121.145409,39.441612],[-121.145409,39.441612],[-121.149949,39.443366],[-121.152219,39.445119],[-121.159029,39.445119],[-121.17492,39.446872],[-121.215781,39.446872],[-121.249832,39.443366],",Water supply and community protection,,,,,,,,,1,,,,,,1,,,,1,,local or regional agency
49afv6cr8zm9,1,"POLYGON ((-120.530224 39.681373, -120.530224 39.681373, -120.548384 39.688361, -120.571085 39.693601, -120.593785 39.698841, -120.623296 39.702335, -120.666427 39.704081, -120.732259 39.705828, -120.754959 39.705828, -120.77766 39.705828, -120.80263 39.7","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.530224,39.681373],[-120.530224,39.681373],[-120.548384,39.688361],[-120.571085,39.693601],[-120.593785,39.698841],[-120.623296,39.702335],[-120.666427,39.704081],[-120.732259,39.705828]",Water supply and community protection,,,,,,,,,1,,,,,,1,,,,1,,local or regional agency
2jo6zpa9vgf4,0,"POLYGON ((-120.020668 39.288269, -120.020668 39.288269, -120.022683 39.289049, -120.031752 39.289829, -120.048883 39.289049, -120.075082 39.285929, -120.099266 39.278909, -120.125466 39.267208, -120.153681 39.257065, -120.168796 39.248482, -120.17988 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.020668,39.288269],[-120.020668,39.288269],[-120.022683,39.289049],[-120.031752,39.289829],[-120.048883,39.289049],[-120.075082,39.285929],[-120.099266,39.278909],[-120.125466,39.267208]","Of these 204,000 acres we need to treat at least 100,000 acres.",,,,,,,,,1,,,,,,,,,,,,non-profit
8ji699pru393,0,"POLYGON ((-120.774994 39.209548, -120.774994 39.209548, -120.725531 39.204225, -120.688239 39.204225, -120.615256 39.209993, -120.447784 39.238692, -120.3362 39.278489, -120.321069 39.308145, -120.348029 39.358073, -120.388822 39.38738, -120.420146 39.40","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.774994,39.209548],[-120.774994,39.209548],[-120.725531,39.204225],[-120.688239,39.204225],[-120.615256,39.209993],[-120.447784,39.238692],[-120.3362,39.278489],[-120.321069,39.308145],[",adf,,,,,,,,,,,,,,,,,,,,,local or regional agency
48hwg9224x44,0,"POLYGON ((-119.880438 38.916672, -119.880438 38.916672, -119.88348 38.911938, -119.886522 38.907203, -119.886522 38.902468, -119.886522 38.897733, -119.886522 38.89063, -119.886522 38.89063, -119.886522 38.883526, -119.886522 38.87879, -119.886522 38.871","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.880438,38.916672],[-119.880438,38.916672],[-119.88348,38.911938],[-119.886522,38.907203],[-119.886522,38.902468],[-119.886522,38.897733],[-119.886522,38.89063],[-119.886522,38.89063],[-","Forest resilience and watershed resilience.  Also diversification of the local economy due to jobs related to improving forest resilience.  Sustainable recreation (hiking, fishing, snow sports, camping and tourism in general benefits from a resilient for",Improved water quantity and quality for downstream communities in Nevada.,,,,,,,,1,,,,1,,,1,,,2,2,non-profit
3tre476j6wg3,0,"POLYGON ((-120.486289 39.626816, -120.486289 39.626816, -120.486026 39.628769, -120.490426 39.639745, -120.493798 39.645305, -120.499378 39.65313, -120.503122 39.656196, -120.510436 39.660139, -120.514531 39.663259, -120.526508 39.678254, -120.530685 39.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.486289,39.626816],[-120.486289,39.626816],[-120.486026,39.628769],[-120.490426,39.639745],[-120.493798,39.645305],[-120.499378,39.65313],[-120.503122,39.656196],[-120.510436,39.660139],",Biomass sourcing,,,,1,,,,,,,,,,,,,,,,,non-profit
9ws8i6xjv4pa,0,"POLYGON ((-120.927129 39.463944, -120.927129 39.463944, -120.92165 39.463944, -120.905214 39.466059, -120.905214 39.466059, -120.896996 39.466059, -120.891517 39.466059, -120.88056 39.468174, -120.872341 39.468174, -120.855905 39.472403, -120.842208 39.4","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.927129,39.463944],[-120.927129,39.463944],[-120.92165,39.463944],[-120.905214,39.466059],[-120.905214,39.466059],[-120.896996,39.466059],[-120.891517,39.466059],[-120.88056,39.468174],[",Drinking source water protection.,"Carbon sequestration, reduced stream sediment loading to benefit aquatic life, etc.",2,2,,,,,,,,,,,,1,,,,,1,federal
9ws8i6xjv4pa,1,"POLYGON ((-120.025869 39.292428, -120.025869 39.292428, -120.034087 39.292428, -120.045044 39.292428, -120.045044 39.292428, -120.058741 39.292428, -120.069699 39.292428, -120.069699 39.292428, -120.075178 39.290308, -120.075178 39.290308, -120.080657 39","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.025869,39.292428],[-120.025869,39.292428],[-120.034087,39.292428],[-120.045044,39.292428],[-120.045044,39.292428],[-120.058741,39.292428],[-120.069699,39.292428],[-120.069699,39.292428]",Water quality,"Carbon storage, recreation.",,2,,,,,,,,,,,,,2,,,,1,federal
2iw9kcf9dlc8,0,"POLYGON ((-120.708279 40.734265, -120.708279 40.734265, -120.707093 40.736063, -120.707093 40.740557, -120.707093 40.745051, -120.707093 40.750443, -120.707093 40.754037, -120.708279 40.759429, -120.709466 40.76482, -120.710652 40.766617, -120.714211 40.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.708279,40.734265],[-120.708279,40.734265],[-120.707093,40.736063],[-120.707093,40.740557],[-120.707093,40.745051],[-120.707093,40.750443],[-120.707093,40.754037],[-120.708279,40.759429]",Water quantity to benefit eagle lake rainbow trout.,"water quality, aquatic habitat, recreation",1,,,,,,,,,,,,,,2,,,1,2,non-profit
2iw9kcf9dlc8,1,"POLYGON ((-119.873756 39.577213, -119.873756 39.577213, -119.88206 39.579499, -119.893922 39.58087, -119.917647 39.583156, -119.942558 39.583156, -119.962131 39.583156, -119.982297 39.582699, -119.999498 39.58407, -120.026782 39.585899, -120.032713 39.58","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.873756,39.577213],[-119.873756,39.577213],[-119.88206,39.579499],[-119.893922,39.58087],[-119.917647,39.583156],[-119.942558,39.583156],[-119.962131,39.583156],[-119.982297,39.582699],[",Water supply,"water quality, biodiversity, recreation",2,,,,,,,,,,,,,,2,,,1,2,non-profit
2iw9kcf9dlc8,2,"POLYGON ((-119.888533 38.750342, -119.888533 38.750342, -119.888533 38.749863, -119.888533 38.749624, -119.88884 38.749385, -119.889454 38.748906, -119.889454 38.748906, -119.889761 38.748666, -119.889761 38.748666, -119.889761 38.747948, -119.889761 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.888533,38.750342],[-119.888533,38.750342],[-119.888533,38.749863],[-119.888533,38.749624],[-119.88884,38.749385],[-119.889454,38.748906],[-119.889454,38.748906],[-119.889761,38.748666],",Water quality,"water supply, biodiversity, recreation, carbon sequestration",2,2,,,,,,,,,,,,,2,,,2,1,non-profit
2iw9kcf9dlc8,3,"POLYGON ((-120.290291 39.255275, -120.290291 39.255275, -120.299771 39.27607, -120.31557 39.296859, -120.32663 39.306639, -120.34401 39.316419, -120.374029 39.327419, -120.408788 39.337196, -120.429327 39.33964, -120.459347 39.342084, -120.497266 39.3420","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.290291,39.255275],[-120.290291,39.255275],[-120.299771,39.27607],[-120.31557,39.296859],[-120.32663,39.306639],[-120.34401,39.316419],[-120.374029,39.327419],[-120.408788,39.337196],[-1","water supply,","water quality, biodiversity, recreation",2,,,,,,,,,,,,,,2,,,1,2,non-profit
2iw9kcf9dlc8,4,"POLYGON ((-119.621558 38.725407, -119.621558 38.725407, -119.621558 38.72144, -119.626643 38.709535, -119.634272 38.695645, -119.639357 38.681751, -119.644443 38.667855, -119.649528 38.659913, -119.652071 38.651971, -119.654614 38.651971, -119.654614 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.621558,38.725407],[-119.621558,38.725407],[-119.621558,38.72144],[-119.626643,38.709535],[-119.634272,38.695645],[-119.639357,38.681751],[-119.644443,38.667855],[-119.649528,38.659913],",Water supply,"water quality, biodiversity, recreation",2,,,,,,,,,,,,,,2,,,1,2,non-profit
2iw9kcf9dlc8,5,"POLYGON ((-119.983462 38.664606, -119.983462 38.664606, -119.983462 38.663542, -119.981418 38.660882, -119.970517 38.654498, -119.956891 38.649177, -119.940539 38.646517, -119.927594 38.642792, -119.911924 38.63747, -119.907155 38.635341, -119.902385 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.983462,38.664606],[-119.983462,38.664606],[-119.983462,38.663542],[-119.981418,38.660882],[-119.970517,38.654498],[-119.956891,38.649177],[-119.940539,38.646517],[-119.927594,38.642792]",water supply,"water quality, recreation",,,,,,,,,,,,,,,2,,,1,2,non-profit
2iw9kcf9dlc8,6,"POLYGON ((-120.026368 38.201875, -120.026368 38.201875, -120.024177 38.20417, -120.022352 38.208473, -120.020161 38.217366, -120.018701 38.227979, -120.017605 38.240598, -120.015415 38.249487, -120.012129 38.255222, -120.008478 38.261242, -120.004827 38.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-120.026368,38.201875],[-120.026368,38.201875],[-120.024177,38.20417],[-120.022352,38.208473],[-120.020161,38.217366],[-120.018701,38.227979],[-120.017605,38.240598],[-120.015415,38.249487],",biodiversity/habitat,"water supply, water quality",1,,,,,,,,,,,,,,,,,2,2,non-profit
2iw9kcf9dlc8,7,"POLYGON ((-119.948965 37.958883, -119.948965 37.958883, -119.946774 37.962337, -119.946044 37.965216, -119.943123 37.972699, -119.941663 37.97788, -119.938742 37.985362, -119.93363 37.992268, -119.929249 37.998023, -119.924137 38.003202, -119.915375 38.0","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-119.948965,37.958883],[-119.948965,37.958883],[-119.946774,37.962337],[-119.946044,37.965216],[-119.943123,37.972699],[-119.941663,37.97788],[-119.938742,37.985362],[-119.93363,37.992268],[",biodiversity,"water supply, water quality, recreation, carbon sequestration",1,2,,,,,,,,,,,,,2,,,,2,non-profit
2iw9kcf9dlc8,8,"POLYGON ((-118.439482 36.873225, -118.439482 36.873225, -118.442403 36.874393, -118.446785 36.877898, -118.449706 36.880234, -118.462849 36.887243, -118.481835 36.896587, -118.493519 36.902427, -118.522727 36.915272, -118.550476 36.92578, -118.579685 36.","{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-118.439482,36.873225],[-118.439482,36.873225],[-118.442403,36.874393],[-118.446785,36.877898],[-118.449706,36.880234],[-118.462849,36.887243],[-118.481835,36.896587],[-118.493519,36.902427]",water supply,"water quality, biodiversity, recreation, local community and social interactions, witderness asesthestic",2,,,,,,,,,2,,2,,,2,,,1,2,non-profit
